Date,Open,High,Low,Close,Volume
Tue Mar  2 23:00:00 2021,48909.0,48989.63,48569.79,48631.0,57.99958446
Wed Mar  3 00:00:00 2021,48631.0,48878.24,48540.75,48739.17,86.99480204
Wed Mar  3 01:00:00 2021,48732.34,49355.43,48704.23,49153.95,122.1848764
Wed Mar  3 02:00:00 2021,49210.31,49488.18,48882.18,49115.15,77.26773789
Wed Mar  3 03:00:00 2021,49115.15,49686.08,49115.15,49582.81,236.38290654
Wed Mar  3 04:00:00 2021,49590.82,50000.0,49544.87,49800.41,297.89424736
Wed Mar  3 05:00:00 2021,49822.25,51000.0,49822.25,50930.38,337.49920911
Wed Mar  3 06:00:00 2021,50946.9,51528.53,50774.33,51520.22,336.52989794
Wed Mar  3 07:00:00 2021,51486.6,51774.89,51268.01,51452.39,439.03181344
Wed Mar  3 08:00:00 2021,51454.68,51800.0,51127.07,51689.0,430.28052293
Wed Mar  3 09:00:00 2021,51662.71,52597.0,51386.84,52570.13,363.69885034
Wed Mar  3 10:00:00 2021,52591.46,52652.82,51195.51,51549.4,468.09279128
Wed Mar  3 11:00:00 2021,51549.4,51549.4,50600.0,50786.73,1041.22050061
Wed Mar  3 12:00:00 2021,50772.35,51156.66,50502.54,50786.39,247.52551256
Wed Mar  3 13:00:00 2021,50843.47,51500.0,50843.47,51150.0,185.36530789
Wed Mar  3 14:00:00 2021,51150.0,51500.0,50865.47,51355.52,304.64540916
Wed Mar  3 15:00:00 2021,51355.52,51654.42,51154.23,51277.66,130.20988356
Wed Mar  3 16:00:00 2021,51275.9,51281.95,50262.32,50874.65,289.8063355
Wed Mar  3 17:00:00 2021,50887.24,51195.52,50460.49,50520.23,149.1960408
Wed Mar  3 18:00:00 2021,50556.97,51121.8,50290.29,50942.58,135.16936009
Wed Mar  3 19:00:00 2021,50924.18,51352.67,50478.04,50600.0,120.83023021
Wed Mar  3 20:00:00 2021,50600.0,51085.86,50351.31,50379.68,124.86998656
Wed Mar  3 21:00:00 2021,50376.05,51169.67,49900.0,50929.61,161.81286864
Wed Mar  3 22:00:00 2021,50918.64,51656.33,50730.48,51555.0,307.15193418
Wed Mar  3 23:00:00 2021,51507.87,51817.54,50808.0,50808.0,125.3305547
Thu Mar  4 00:00:00 2021,50808.0,51065.01,49400.0,49575.87,189.25208968
Thu Mar  4 01:00:00 2021,49559.56,49836.58,49000.0,49038.2,302.13093691
Thu Mar  4 02:00:00 2021,49073.78,49745.8,49056.88,49685.46,194.84008002
Thu Mar  4 03:00:00 2021,49691.26,49899.0,49279.45,49425.59,152.6991388
Thu Mar  4 04:00:00 2021,49394.05,49853.75,49347.14,49726.16,153.61181789
Thu Mar  4 05:00:00 2021,49745.84,50751.6,49731.3,50247.2,385.35937776
Thu Mar  4 06:00:00 2021,50249.78,50249.78,48507.65,49100.0,370.30271163
Thu Mar  4 07:00:00 2021,49108.69,49598.54,48773.0,49235.19,191.18338841
Thu Mar  4 08:00:00 2021,49227.49,49528.36,48940.15,49366.05,136.456045
Thu Mar  4 09:00:00 2021,49317.0,49804.9,49146.68,49392.64,135.23710691
Thu Mar  4 10:00:00 2021,49392.64,49747.41,48750.0,49670.89,133.24805858
